Category,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Copper_g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Panto_Acid_g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Folate_DFE_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_D_g,Vit_K_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(g),Vit_A_(g)
FORMULATE BAR,12.9,396,24.29,13.12,3,47.24,2.5,32.86,0.965,0,0.255,0.455,0,0.462,0.00955,0,0,0,0.1444,0.002727,0.003091,0.036364,0.018182,0.003636,7.27E-04,7.27E-04,0,0.001236,0,1.09E-05,0,0,0,0,0,0,0.02455,0,0,4.728,0,0,0.004,0.0010911
FORMULATED,2.25,634.5,13.465,60,2.05,22.235,5.2,0,0.024,0.0025,0.0585,0.3685,0.319,0.298,0.00295,1.81E-04,0.007434,0,1.00E-04,3.50E-04,3.00E-04,0.0015,3.11E-04,3.71E-04,1.34E-04,0,1.34E-04,1.34E-04,0,0,0,0,0,0,0,0,0,0,0,9.0355,24.6335,23.499,0,3.00E-07
Formulated bar,12.04,350,5,10,3.14,69.78,22.5,25,0.25,9.00E-04,0.19,0.419,0.447,0.35,0.00196,2.62E-04,0.003407,8.90E-06,0.0012,6.88E-04,9.10E-05,0.007903,0.001755,9.63E-04,3.50E-05,1.20E-05,2.20E-05,4.30E-05,0.0124,0,0,0,0,0,0,6.50E-05,0.00147,0,2.60E-06,3.397,3.522,2.334,0,0
FORMULATED BAR,10.35,394.5,18.47,10.555,3.87,56.35,5.4,20.95,0.586,0.00855,0.249,0.6435,0.387,0.347,0.007725,0.001128,0.001317,2.79E-05,0.08015,9.38E-04,0.00191,0.0269,0.013,0.00215,5.23E-04,5.19E-04,2.10E-05,8.86E-04,0.04105,6.00E-06,2.20E-04,0,1.00E-06,0,0,1.40E-05,0.00714,1.55E-06,8.51E-05,4.372,2.6805,1.923,0.0015,6.58E-04
Frankfurter,55.16,298,10.31,26.28,3.5,5.02,0,2.75,0.107,0.00112,0.011,0.18,0.359,0.976,0.00125,4.20E-05,2.00E-05,1.31E-05,0.0194,4.70E-05,1.45E-04,0.002813,5.54E-04,6.30E-05,6.00E-06,0,9.00E-06,9.00E-06,0.0543,6.90E-07,3.10E-05,0,0,0,0,0,4.50E-04,7.00E-07,2.00E-07,8.216,10.723,5.713,0.084,3.09E-05
FRANKFURTER,62.5,233,12.5,16.19,3.1,2.97,0,0,0.033,0.00141,0.014,0.162,0.22,0.865,0.00196,7.10E-05,3.10E-05,1.51E-05,0,5.70E-05,1.70E-04,0.003137,5.60E-04,1.43E-04,4.00E-06,0,4.00E-06,4.00E-06,0.04945,9.60E-07,0,0,0,0,0,0,2.10E-04,5.50E-07,3.00E-07,3.856,5.736,1.379,0.058,0
FRENCH TOAST,53.65,221,7.55,8.45,1.8,28.55,1.1,0,0.1035,0.00194,0.017,0.128,0.134,0.487,7.20E-04,7.10E-05,2.17E-04,1.84E-05,3.00E-04,2.41E-04,3.51E-04,0.002175,7.44E-04,2.85E-04,4.75E-05,2.40E-05,2.35E-05,6.45E-05,0,9.95E-07,8.55E-05,0,6.60E-05,0,0,0,0,0,0,2.128,3.282,1.9105,0.099,1.04E-04
FRIJOLES ROJOS VOLTEADOS (REFRIED BNS,70.71,144,5,6.93,1.89,15.47,4.7,0,0.033,0.00195,0.036,0.091,0.31,0.375,7.00E-04,2.20E-04,2.95E-04,3.50E-06,0,2.70E-05,1.70E-05,6.40E-04,1.75E-04,8.50E-05,5.00E-06,0,5.00E-06,0,0,0,0,0,0,0,0,0,0.00104,0,0,0.926,1.676,4.379,0,0
FROG LEGS,81.9,73,16.4,0.3,1.4,0,0,0,0.018,0.0015,0.02,0.147,0.285,0.058,0.001,2.50E-04,0,1.41E-05,0,1.40E-04,2.50E-04,0.0012,0,1.20E-04,1.50E-05,0,1.50E-05,1.50E-05,0.065,4.00E-07,1.50E-05,0,0,0,0,0,0.001,2.00E-07,1.00E-07,0.076,0.053,0.102,0.05,1.50E-05
FROSTING,18.27,359,1.42,7.17,0.82,72.18,1.1,64.3,0.032,6.00E-04,0.02,0.048,0.13,0.132,3.70E-04,1.36E-04,1.40E-04,1.60E-06,1.00E-04,1.80E-05,6.60E-05,1.11E-04,8.10E-05,1.10E-05,2.00E-06,0,2.00E-06,2.00E-06,0,9.00E-08,6.80E-05,0,1.30E-05,0,0,1.00E-06,1.90E-04,0,7.00E-07,4.483,1.894,0.294,0.018,7.47E-05
FROSTINGS,14.57,406,1.1,12.805,0.645,71.41,0.1,60.4,0.007,1.60E-04,0.0025,0.0155,0.097,0.158,6.50E-05,3.60E-05,1.35E-05,1.10E-06,0,5.50E-06,2.60E-05,1.17E-04,3.30E-05,3.50E-06,2.00E-06,0,2.00E-06,2.00E-06,0.0046,5.00E-09,0,0,2.00E-06,0,0,0,0.00131,0,8.00E-07,2.974,3.9425,2.797,0,1.50E-07
FROZ NOVELTIES,94.03,21,0,0,0.06,5.14,0,1.52,0,6.70E-04,0.001,0,0.011,0.01,4.70E-04,0,0,0,0.0104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FROZ NOVLT,56.2,221,6.4,10.1,1.19,26.11,0.8,8.52,0.222,2.90E-04,0.028,0.173,0.305,0.104,8.20E-04,7.60E-05,7.80E-05,2.40E-06,0,6.20E-05,2.61E-04,1.75E-04,4.79E-04,4.30E-05,7.00E-06,0,7.00E-06,7.00E-06,0.0297,4.90E-07,1.50E-05,0,4.40E-05,0,0,0,4.20E-04,2.00E-07,1.30E-06,5.528,2.7,1.359,0.01,3.69E-05
FROZEN NOVELTIES,77.2,91,0.85,0.425,0.215,21.655,0.2,17.48,0.007,2.90E-04,0.0035,0.004,0.0245,0.0175,9.00E-05,1.30E-05,2.00E-05,2.00E-07,8.50E-04,6.00E-06,1.00E-05,1.51E-04,3.90E-05,1.60E-05,5.00E-06,0,5.00E-06,5.00E-06,0.004,0,0,0,5.50E-06,0,0,1.00E-06,2.00E-05,0,1.00E-07,0.47,0,0.008,0,5.40E-06
