Category,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Copper_g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Panto_Acid_g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Folate_DFE_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_D_g,Vit_K_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(g),Vit_A_(g)
FROZEN NOVL,54.69,242,5.2,13,1.13,25.98,3.9,8.64,0.289,4.10E-04,0,0,0,0.086,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0.008,8.67E-05
FROZEN YOGURTS,68.25,143,3.5,4.6,0.75,22.9,1.1,19.92,0.1215,4.60E-04,0.0195,0.109,0.2225,0.075,3.50E-04,4.70E-05,6.65E-05,2.15E-06,5.00E-04,3.85E-05,1.96E-04,2.14E-04,6.60E-04,5.70E-05,8.50E-06,0,8.50E-06,8.50E-06,0.0202,1.80E-07,4.55E-05,0,1.00E-05,0,0,0,9.00E-05,1.00E-07,3.00E-07,2.873,1.288,0.156,0.009,5.04E-05
FRUIT BUTTERS,56.45,173,0.39,0.3,0.39,42.47,1.5,35.3,0.014,3.10E-04,0.004,0.008,0.091,0.015,6.00E-05,8.00E-05,3.15E-04,4.00E-07,6.00E-04,9.00E-06,1.90E-05,7.60E-05,4.90E-05,3.70E-05,1.00E-06,0,1.00E-06,1.00E-06,0.0021,0,0,0,9.00E-06,9.00E-06,0,1.70E-05,5.00E-05,0,9.00E-07,0.053,0.016,0.084,0,6.60E-06
FRUIT COCKTAIL,84.37,57,0.4,0.07,0.23,14.93,1,13.93,0.006,2.90E-04,0.005,0.011,0.09,0.006,8.00E-05,7.00E-05,1.46E-04,5.00E-07,0.0019,1.80E-05,1.90E-05,3.74E-04,6.15E-05,5.10E-05,3.00E-06,0,3.00E-06,3.00E-06,0.0037,0,0,0,1.26E-04,4.80E-05,0,7.50E-05,4.00E-04,0,2.60E-06,0.01,0.013,0.031,0,6.99E-05
FRUIT JUC SMOOTHIE,86.6,52,0.5,0.27,0.39,12.37,0.6,10.33,0.01,2.10E-04,0.0135,0.017,0.165,0.004,7.50E-05,4.00E-05,1.87E-04,3.50E-07,0.025,5.00E-05,6.85E-05,3.10E-04,2.10E-04,7.75E-05,2.05E-05,0,2.05E-05,2.05E-05,0.0042,2.75E-07,0,7.00E-06,1.44E-04,1.20E-05,0,3.20E-05,3.60E-04,0,1.70E-06,0.068,0.04,0.068,0,8.70E-05
FRUIT LEATHER,11.25,365,0.55,2.84,1.05,84.31,0,53.37,0.025,8.80E-04,0.017,0.0275,0.229,0.36,1.90E-04,1.71E-04,1.84E-04,1.55E-06,0.088,6.35E-05,6.00E-05,1.00E-04,1.74E-04,3.00E-04,3.00E-06,0,3.00E-06,3.00E-06,0.01305,0,0,1.00E-06,3.40E-05,0,0,4.60E-05,5.60E-04,0,1.82E-05,0.661,1.48,0.551,0,1.73E-05
FRUIT SALAD,82.25,65.5,0.345,0.07,0.215,17.125,1,18.11,0.007,2.85E-04,0.005,0.009,0.081,0.005,7.50E-05,6.45E-05,1.48E-04,5.00E-07,0.00245,1.45E-05,2.05E-05,3.61E-04,5.30E-05,3.20E-05,3.00E-06,0,3.00E-06,3.00E-06,0.0037,0,0,0,2.54E-04,9.60E-05,0,7.50E-05,4.00E-04,0,2.60E-06,0.009,0.0125,0.028,0,1.42E-04
FRYBREAD,32.34,319.5,7.535,11.18,1.805,47.135,1.7,1.785,0.0545,0.003735,0.0185,0.1175,0.076,0.5,4.10E-04,9.35E-05,3.51E-04,1.26E-05,0,4.81E-04,2.41E-04,0.004469,1.64E-04,5.30E-05,1.17E-04,9.90E-05,1.80E-05,1.86E-04,0,0,0,0,0,0,0,0,4.50E-05,0,4.00E-07,4.126,3.9555,1.1805,0.0055,0
FRZ NVL,63.51,124,4.31,1.88,0.23,30.07,6,7.1,0.138,7.10E-04,0,0,0,0.12,0,0,0,0,9.00E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.007,1.47E-05
FST FOODS,38.55,312,3.43,14.73,1.85,41.44,3.8,0.3,0.018,8.10E-04,0.035,0.125,0.579,0.21,5.00E-04,1.24E-04,2.47E-04,9.00E-07,0.0047,1.70E-04,3.90E-05,0.003004,5.80E-04,3.72E-04,3.00E-05,0,3.00E-05,3.00E-05,0.0368,0,0,0,0,0,0,2.70E-05,0.00167,0,1.12E-05,2.336,5.969,5.398,0,0
FT FDS,57.52,226,11.34,12.37,1.45,17.33,1.5,4,0.046,0.00299,0.018,0.097,0.188,0.342,0.00246,8.10E-05,1.83E-04,1.82E-05,9.00E-04,2.11E-04,2.13E-04,0.003141,2.54E-04,1.03E-04,6.40E-05,3.30E-05,3.10E-05,8.70E-05,0.0329,1.21E-06,0,1.50E-05,1.03E-04,2.00E-06,0.001068,4.50E-05,1.50E-04,1.00E-07,1.43E-05,3.972,4.67,3.144,0.033,5.58E-05
FUNGI,14.8,284,9.25,0.73,2.21,73.01,70.1,0,0.159,0.00588,0.083,0.184,0.754,0.035,0.00132,1.83E-04,0.001951,4.34E-05,0,1.50E-05,8.44E-04,0.006267,4.81E-04,1.12E-04,3.80E-05,0,3.80E-05,3.80E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAME MEAT,66.805,154,27.62,3.675,1.18,0,0,0,0.007,0.003575,0.0255,0.2205,0.35,0.057,0.00365,1.76E-04,1.85E-05,1.29E-05,0,1.25E-04,3.15E-04,0.005535,0.00093,4.60E-04,9.00E-06,0,9.00E-06,9.00E-06,0.11695,2.47E-06,0,0,0,0,0,0,4.00E-04,0,1.40E-06,1.27,1.136,0.397,0.0795,0
GAME MEAT BISON,64.675,197,23.36,10.79,1.025,0,0,0,0.008,0.003035,0.023,0.217,0.347,0.0595,0.0047,1.71E-04,1.10E-05,3.00E-05,0,1.79E-04,3.37E-04,0.00524,9.93E-04,4.55E-04,1.45E-05,0,1.45E-05,1.45E-05,0,2.31E-06,0,0,0,0,0,0,2.20E-04,0,0,4.607,4.214,0.5075,0.078,0
GARDENBURGER BLACK BEAN CHIPOTLE BURGER,65.5,133,6.5,3.9,2.1,22,6.1,3.6,0.049,0.0024,0,0.11,0.223,0.545,7.00E-04,0,0,0,0,1.00E-04,0,9.00E-04,0,1.10E-04,3.10E-05,0,3.10E-05,3.10E-05,0,0,0,0,0,0,0,0,0,0,0,0.4,2.2,0.9,0,0
GARDENBURGER FLAME GRILLED BURGER,71.4,122,15.2,4.4,2.2,6.8,3.7,0.4,0.088,0.0029,0,0.214,0.512,0.445,9.00E-04,0,0,0,0.001,0,0,1.00E-04,0,2.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,2,1.4,0,0
GARDENBURGER ORIGINAL,61.9,155,7.2,4.6,4.2,22.1,5,0.6,0.065,0.0014,0,0.118,0.177,0.684,3.00E-04,0,0,0,0,1.00E-04,1.00E-04,0.0012,0,6.00E-05,1.20E-05,0,1.20E-05,1.20E-05,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5,0.6,0.009,0
GARDENBURGER SAVORY PORTABELLA VEGGIE BURGER,65.5,138,5.9,3.3,3.2,22.1,7.1,1.2,0.067,7.00E-04,0,0.098,0.176,0.633,4.00E-04,0,0,0,0,1.00E-04,1.00E-04,0.001,0,1.00E-04,2.10E-05,0,2.10E-05,2.10E-05,0,0,0,0,0,0,0,0,0,0,0,1.1,1,0.7,0.004,0
GARDENBURGER SUN-DRIED TOMATO BASIL BURGER,65.5,137,5.5,3.6,1.7,23.7,5.2,2.6,0.05,0.0012,0,0.048,0.078,0.387,1.00E-04,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,0.8,0.004,1.97E-04
GARDENBURGER VEGGIE MEDLEY BURGER,66,121,4.1,3.6,2.3,24,7.1,2,0.036,0.0012,0,0.118,0.178,0.559,5.00E-04,0,0,0,0,1.00E-04,1.00E-04,0.001,0,1.00E-04,1.10E-05,0,1.10E-05,1.10E-05,0,0,0,0,0,0,0,0,0,0,0,0.4,1.5,1.6,0,0
GARLIC,58.58,149,6.36,0.5,1.5,33.06,2.1,1,0.181,0.0017,0.025,0.153,0.401,0.017,0.00116,2.99E-04,0.001672,1.42E-05,0.0312,2.00E-04,1.10E-04,7.00E-04,5.96E-04,0.001235,3.00E-06,0,3.00E-06,3.00E-06,0.0232,0,0,0,5.00E-06,0,0,1.60E-05,8.00E-05,0,1.70E-06,0.089,0.011,0.249,0,2.70E-06
GARLIC BREAD,31.78,350,8.36,16.61,1.54,41.72,2.5,3.69,0.027,0.00305,0.023,0.087,0.103,0.544,8.70E-04,1.08E-04,4.41E-04,1.66E-05,2.00E-04,4.62E-04,1.84E-04,0.004142,6.60E-04,8.30E-05,1.86E-04,5.00E-05,1.36E-04,2.21E-04,0.0085,8.00E-08,1.30E-05,0,0,0,0,2.50E-05,0.00118,2.00E-07,2.95E-05,5.281,4.669,5.437,0,1.32E-05
GEFILTEFISH,80.35,84,9.07,1.73,1.44,7.41,0,0,0.023,0.00248,0.009,0.073,0.091,0.524,8.20E-04,1.95E-04,7.30E-05,1.05E-05,8.00E-04,6.50E-05,5.90E-05,0.001,2.00E-04,8.00E-05,3.00E-06,0,3.00E-06,3.00E-06,0,8.40E-07,2.70E-05,0,0,0,0,0,0,0,0,0.412,0.824,0.285,0.03,2.67E-05
